order_id,sku,quantity,arrival,deadline,service_class
D0049,SKU-B,8,19.15,139.15,standard
D0050,SKU-A,1,117.81,237.81,standard
D0051,SKU-B,2,77.05,137.05,express
D0052,SKU-D,1,213.71,333.71,standard
D0053,SKU-B,1,8.56,128.56,standard
D0054,SKU-A,3,189.12,309.12,standard
D0055,SKU-B,2,225.69,345.69,standard
D0056,SKU-A,2,191.26,251.26,express
D0057,SKU-A,5,38.12,158.12,standard
D0058,SKU-A,3,78.74,198.74,standard
D0059,SKU-E,12,233.18,353.18,standard
D0060,SKU-D,12,22.3,142.3,standard
D0061,SKU-B,8,109.56,229.56,standard
D0062,SKU-A,3,104.63,224.63,standard
D0063,SKU-C,2,146.26,266.26,standard
D0064,SKU-D,3,101.82,221.82,standard
D0065,SKU-E,2,119.44,239.44,standard
D0066,SKU-A,5,226.57,346.57,standard
D0067,SKU-A,1,172.8,292.8,standard
D0068,SKU-A,3,72.42,192.42,standard
D0069,SKU-A,2,173.16,293.16,standard
D0070,SKU-E,1,20.51,80.51,express
D0071,SKU-C,1,106.43,226.43,standard
D0072,SKU-C,5,97.18,217.18,standard
D0073,SKU-B,1,163.23,283.23,standard
D0074,SKU-A,1,226.47,346.47,standard
D0075,SKU-A,1,63.65,183.65,standard
D0076,SKU-C,5,237.36,357.36,standard
D0077,SKU-B,1,138.39,258.39,standard
D0078,SKU-A,3,116.43,236.43,standard
D0079,SKU-D,1,184.1,304.1,standard
D0080,SKU-D,5,219.32,279.32,express
D0081,SKU-B,2,180.63,240.63,express
D0082,SKU-C,2,218.05,338.05,standard
D0083,SKU-A,3,112.83,232.83,standard
D0084,SKU-A,3,38.56,158.56,standard
D0085,SKU-D,1,208.81,268.81,express
D0086,SKU-C,5,18.91,138.91,standard
D0087,SKU-A,1,61.3,181.3,standard
D0088,SKU-C,2,233.28,353.28,standard
D0089,SKU-C,1,116.44,236.44,standard
D0090,SKU-A,2,219.55,279.55,express
D0091,SKU-A,5,137.22,257.22,standard
D0092,SKU-C,12,213.68,333.68,standard
D0093,SKU-A,2,42.02,162.02,standard
D0094,SKU-D,1,23.1,143.1,standard
D0095,SKU-D,2,232.44,292.44,express
D0096,SKU-D,2,197.73,317.73,standard
D0097,SKU-A,1,206.31,326.31,standard
D0098,SKU-B,1,10.45,70.45,express
D0099,SKU-A,5,117.5,237.5,standard
D0100,SKU-A,1,49.81,109.81,express
D0101,SKU-B,1,150.43,270.43,standard
D0102,SKU-C,8,41.21,161.21,standard
D0103,SKU-C,1,92.62,212.62,standard
D0104,SKU-C,3,201.6,261.6,express
D0105,SKU-D,5,215.91,335.91,standard
D0106,SKU-B,1,82.88,202.88,standard
D0107,SKU-A,2,238.39,358.39,standard
D0108,SKU-B,1,110.94,170.94,express
D0109,SKU-C,2,181.44,301.44,standard
D0110,SKU-D,12,0.4,120.4,standard
D0111,SKU-C,2,43.29,163.29,standard
D0112,SKU-C,1,75.88,195.88,standard
D0113,SKU-B,1,126.56,246.56,standard
D0114,SKU-D,2,230.73,350.73,standard
D0115,SKU-D,3,56.92,176.92,standard
D0116,SKU-B,2,179.83,299.83,standard
D0117,SKU-A,1,193.0,253.0,express
D0118,SKU-A,1,237.2,357.2,standard
D0119,SKU-A,2,194.8,314.8,standard
D0120,SKU-E,12,112.56,232.56,standard
D0121,SKU-A,12,58.91,178.91,standard
D0122,SKU-C,2,188.81,308.81,standard
D0123,SKU-A,2,183.26,303.26,standard
D0124,SKU-A,3,64.59,184.59,standard
D0125,SKU-B,5,33.52,153.52,standard
D0126,SKU-B,1,127.54,247.54,standard
D0127,SKU-E,12,30.04,150.04,standard
D0128,SKU-A,1,222.39,282.39,express
D0129,SKU-D,3,199.1,319.1,standard
D0130,SKU-B,1,172.45,232.45,express
D0131,SKU-C,2,163.3,283.3,standard
D0132,SKU-B,2,239.27,359.27,standard
D0133,SKU-E,1,40.14,160.14,standard
D0134,SKU-D,1,239.35,359.35,standard
D0135,SKU-A,3,222.93,282.93,express
D0136,SKU-B,2,225.76,345.76,standard
D0137,SKU-A,5,73.51,133.51,express
D0138,SKU-C,1,123.36,243.36,standard
D0139,SKU-A,1,1.22,121.22,standard
D0140,SKU-B,8,52.92,112.92,express
D0141,SKU-B,1,156.1,276.1,standard
D0142,SKU-A,2,88.68,208.68,standard
D0143,SKU-B,5,23.71,143.71,standard
D0144,SKU-A,3,80.21,200.21,standard
D0145,SKU-A,3,69.52,189.52,standard
D0146,SKU-D,12,175.53,235.53,express
D0147,SKU-B,2,150.95,270.95,standard
D0148,SKU-B,3,55.66,175.66,standard
D0149,SKU-B,1,106.99,226.99,standard
D0150,SKU-A,2,30.59,150.59,standard
D0151,SKU-C,2,178.16,298.16,standard
D0152,SKU-B,12,114.1,234.1,standard
D0153,SKU-C,3,214.15,334.15,standard
D0154,SKU-A,2,51.79,171.79,standard
D0155,SKU-B,3,186.11,306.11,standard
D0156,SKU-B,2,68.16,188.16,standard
D0157,SKU-A,5,4.4,124.4,standard
D0158,SKU-A,1,149.1,269.1,standard
D0159,SKU-E,1,192.33,312.33,standard
D0160,SKU-A,3,167.85,287.85,standard
D0161,SKU-C,8,35.65,155.65,standard
D0162,SKU-A,2,107.0,227.0,standard
D0163,SKU-E,2,10.31,70.31,express
D0164,SKU-A,1,204.54,324.54,standard
D0165,SKU-A,2,238.63,358.63,standard
D0166,SKU-B,2,107.45,227.45,standard
D0167,SKU-C,5,109.13,229.13,standard
D0168,SKU-A,2,230.07,290.07,express
D0169,SKU-B,1,199.21,259.21,express
D0170,SKU-A,8,180.64,300.64,standard
D0171,SKU-C,2,191.08,251.08,express
D0172,SKU-A,2,55.79,175.79,standard
D0173,SKU-A,1,145.71,205.71,express
D0174,SKU-A,2,90.6,210.6,standard
D0175,SKU-D,1,32.81,152.81,standard
D0176,SKU-C,3,181.42,301.42,standard
D0177,SKU-E,2,40.97,160.97,standard
D0178,SKU-A,5,197.33,317.33,standard
D0179,SKU-A,3,60.89,180.89,standard
D0180,SKU-D,2,57.24,177.24,standard
D0181,SKU-B,3,230.14,350.14,standard
D0182,SKU-E,1,72.85,132.85,express
D0183,SKU-E,3,219.35,279.35,express
D0184,SKU-A,1,148.23,268.23,standard
D0185,SKU-B,3,189.53,309.53,standard
D0186,SKU-E,8,59.48,179.48,standard
D0187,SKU-C,1,204.69,324.69,standard
D0188,SKU-B,1,66.46,186.46,standard
D0189,SKU-A,1,105.41,165.41,express
D0190,SKU-A,5,226.86,286.86,express
D0191,SKU-D,2,186.05,306.05,standard
D0192,SKU-A,1,199.79,319.79,standard
D0193,SKU-D,2,161.74,281.74,standard
D0194,SKU-D,2,221.08,281.08,express
D0195,SKU-B,2,6.55,126.55,standard
D0196,SKU-A,2,8.13,128.13,standard
D0197,SKU-B,1,135.28,255.28,standard
D0198,SKU-A,3,146.03,266.03,standard
D0199,SKU-C,8,20.33,140.33,standard
D0200,SKU-B,3,38.54,158.54,standard
D0201,SKU-C,1,215.08,335.08,standard
D0202,SKU-B,5,85.75,145.75,express
D0203,SKU-C,5,89.97,209.97,standard
D0204,SKU-A,5,65.78,185.78,standard
D0205,SKU-C,1,91.15,211.15,standard
D0206,SKU-A,12,131.57,251.57,standard
D0207,SKU-C,2,208.93,328.93,standard
D0208,SKU-E,8,229.85,349.85,standard
D0209,SKU-A,3,56.79,116.79,express
D0210,SKU-E,5,83.61,203.61,standard
D0211,SKU-E,12,130.4,250.4,standard
D0212,SKU-A,5,58.48,178.48,standard
D0213,SKU-C,12,175.86,295.86,standard
D0214,SKU-B,2,237.12,357.12,standard
D0215,SKU-B,5,134.81,254.81,standard
D0216,SKU-E,1,56.4,176.4,standard
D0217,SKU-B,2,114.9,174.9,express
D0218,SKU-A,2,175.07,295.07,standard
D0219,SKU-A,2,67.36,187.36,standard
D0220,SKU-E,3,156.91,216.91,express
D0221,SKU-B,2,25.44,145.44,standard
D0222,SKU-E,3,94.6,214.6,standard
D0223,SKU-C,8,78.3,198.3,standard
D0224,SKU-B,3,170.29,230.29,express
D0225,SKU-C,12,50.03,170.03,standard
D0226,SKU-E,3,168.69,288.69,standard
D0227,SKU-A,1,51.65,171.65,standard
D0228,SKU-C,2,8.38,68.38,express
D0229,SKU-D,3,159.1,279.1,standard
D0230,SKU-D,3,99.25,219.25,standard
D0231,SKU-D,3,126.25,246.25,standard
D0232,SKU-D,5,211.87,331.87,standard
D0233,SKU-D,1,76.76,196.76,standard
D0234,SKU-E,5,230.26,290.26,express
D0235,SKU-C,1,217.21,277.21,express
D0236,SKU-A,1,75.11,195.11,standard
D0237,SKU-A,1,159.98,279.98,standard
D0238,SKU-B,8,235.75,355.75,standard
D0239,SKU-B,3,158.12,218.12,express
D0240,SKU-A,3,230.68,350.68,standard
D0241,SKU-B,5,9.25,129.25,standard
D0242,SKU-A,5,219.05,339.05,standard
D0243,SKU-C,1,106.04,226.04,standard
D0244,SKU-D,1,77.05,197.05,standard
D0245,SKU-B,8,203.37,263.37,express
D0246,SKU-B,12,80.04,200.04,standard
D0247,SKU-D,1,13.55,133.55,standard
D0248,SKU-B,5,6.14,126.14,standard
D0249,SKU-D,3,153.89,273.89,standard
D0250,SKU-C,12,102.25,222.25,standard
D0251,SKU-A,2,187.63,307.63,standard
D0252,SKU-C,1,149.23,209.23,express
D0253,SKU-A,3,232.56,352.56,standard
D0254,SKU-A,2,213.21,273.21,express
D0255,SKU-A,5,49.09,169.09,standard
D0256,SKU-A,1,73.88,193.88,standard
D0257,SKU-C,3,196.19,316.19,standard
D0258,SKU-C,1,51.35,171.35,standard
D0259,SKU-C,12,200.08,320.08,standard
D0260,SKU-C,1,64.66,184.66,standard
D0261,SKU-A,2,3.8,123.8,standard
D0262,SKU-D,3,104.29,224.29,standard
D0263,SKU-B,5,90.63,210.63,standard
D0264,SKU-E,3,123.16,243.16,standard
D0265,SKU-E,2,107.09,227.09,standard
D0266,SKU-D,5,73.88,193.88,standard
D0267,SKU-C,2,164.45,224.45,express
D0268,SKU-C,2,233.65,353.65,standard
D0269,SKU-D,2,52.81,172.81,standard
D0270,SKU-B,8,205.37,265.37,express
D0271,SKU-D,5,56.56,116.56,express
D0272,SKU-B,5,197.95,317.95,standard
D0273,SKU-E,1,170.13,290.13,standard
D0274,SKU-D,1,35.42,95.42,express
D0275,SKU-A,12,90.03,210.03,standard
D0276,SKU-B,12,172.98,232.98,express
D0277,SKU-A,8,49.34,169.34,standard
D0278,SKU-B,5,165.49,285.49,standard
D0279,SKU-C,2,144.46,264.46,standard
D0280,SKU-C,3,209.66,329.66,standard
D0281,SKU-B,5,85.03,205.03,standard
D0282,SKU-A,1,98.87,158.87,express
D0283,SKU-B,3,64.32,124.32,express
D0284,SKU-B,8,95.13,155.13,express
D0285,SKU-D,1,20.51,140.51,standard
D0286,SKU-B,3,124.79,184.79,express
D0287,SKU-C,8,150.82,270.82,standard
D0288,SKU-D,2,77.12,197.12,standard
D0289,SKU-C,12,145.71,265.71,standard
D0290,SKU-A,2,22.18,142.18,standard
D0291,SKU-A,2,218.37,338.37,standard
D0292,SKU-B,1,152.49,272.49,standard
D0293,SKU-C,5,348.64,468.64,standard
D0294,SKU-A,1,312.24,372.24,express
D0295,SKU-E,3,279.33,399.33,standard
D0296,SKU-A,8,312.07,432.07,standard
D0297,SKU-C,2,408.86,528.86,standard
D0298,SKU-C,3,361.52,481.52,standard
D0299,SKU-C,2,410.14,530.14,standard
D0300,SKU-B,1,259.05,379.05,standard
D0301,SKU-A,5,268.81,388.81,standard
D0302,SKU-A,2,262.24,382.24,standard
D0303,SKU-E,1,302.46,362.46,express
D0304,SKU-B,1,431.89,551.89,standard
D0305,SKU-C,1,260.06,380.06,standard
D0306,SKU-A,12,250.23,370.23,standard
D0307,SKU-A,8,390.81,510.81,standard
D0308,SKU-C,5,346.27,466.27,standard
D0309,SKU-E,2,273.4,393.4,standard
D0310,SKU-A,1,333.64,453.64,standard
D0311,SKU-D,3,420.95,540.95,standard
D0312,SKU-A,1,280.48,400.48,standard
D0313,SKU-E,2,332.08,452.08,standard
D0314,SKU-A,1,389.88,509.88,standard
D0315,SKU-E,3,314.71,374.71,express
D0316,SKU-B,3,329.03,449.03,standard
D0317,SKU-A,3,344.58,464.58,standard
D0318,SKU-A,5,438.11,498.11,express
D0319,SKU-D,2,426.28,546.28,standard
D0320,SKU-B,3,282.61,342.61,express
D0321,SKU-B,1,259.71,379.71,standard
D0322,SKU-C,5,380.51,500.51,standard
D0323,SKU-A,3,361.78,481.78,standard
D0324,SKU-B,3,282.17,402.17,standard
D0325,SKU-C,1,250.96,370.96,standard
D0326,SKU-A,5,247.28,367.28,standard
D0327,SKU-A,2,371.0,431.0,express
D0328,SKU-C,1,360.9,480.9,standard
D0329,SKU-A,8,351.05,411.05,express
D0330,SKU-B,2,375.67,495.67,standard
D0331,SKU-C,5,360.11,420.11,express
D0332,SKU-B,5,409.32,469.32,express
D0333,SKU-A,1,300.06,420.06,standard
D0334,SKU-B,1,250.01,370.01,standard
D0335,SKU-B,2,436.43,556.43,standard
D0336,SKU-D,5,400.36,520.36,standard
D0337,SKU-B,3,256.03,376.03,standard
D0338,SKU-E,12,289.43,409.43,standard
D0339,SKU-A,3,428.3,548.3,standard
D0340,SKU-D,2,280.67,400.67,standard
D0341,SKU-D,1,347.14,467.14,standard
D0342,SKU-B,8,303.87,423.87,standard
D0343,SKU-B,1,282.69,402.69,standard
D0344,SKU-A,1,304.78,424.78,standard
D0345,SKU-D,3,392.24,512.24,standard
D0346,SKU-A,5,368.86,428.86,express
D0347,SKU-D,2,401.23,521.23,standard
D0348,SKU-A,1,410.86,470.86,express
D0349,SKU-D,8,385.95,505.95,standard
D0350,SKU-B,2,425.34,545.34,standard
D0351,SKU-A,2,297.07,417.07,standard
D0352,SKU-B,5,448.89,508.89,express
D0353,SKU-D,1,446.17,566.17,standard
D0354,SKU-A,1,272.96,332.96,express
D0355,SKU-A,1,369.87,489.87,standard
D0356,SKU-D,1,357.42,477.42,standard
D0357,SKU-A,2,331.31,451.31,standard
D0358,SKU-C,3,441.74,501.74,express
D0359,SKU-C,1,357.51,417.51,express
D0360,SKU-B,1,428.0,548.0,standard
D0361,SKU-D,1,424.45,544.45,standard
D0362,SKU-A,3,263.64,323.64,express
D0363,SKU-B,3,249.04,369.04,standard
D0364,SKU-A,1,274.91,394.91,standard
D0365,SKU-C,8,447.18,567.18,standard
D0366,SKU-A,2,380.84,500.84,standard
D0367,SKU-C,2,339.34,399.34,express
D0368,SKU-A,5,246.54,366.54,standard
D0369,SKU-C,8,446.33,566.33,standard
D0370,SKU-D,1,335.95,455.95,standard
D0371,SKU-B,1,345.89,465.89,standard
D0372,SKU-C,5,291.68,411.68,standard
D0373,SKU-C,2,267.54,387.54,standard
D0374,SKU-B,3,418.27,478.27,express
D0375,SKU-A,12,438.83,558.83,standard
D0376,SKU-B,2,436.79,556.79,standard
D0377,SKU-D,8,400.42,520.42,standard
D0378,SKU-C,3,271.38,391.38,standard
D0379,SKU-E,1,416.52,536.52,standard
D0380,SKU-A,1,415.51,535.51,standard
D0381,SKU-A,1,350.15,470.15,standard
D0382,SKU-B,5,429.25,549.25,standard
D0383,SKU-B,3,305.47,425.47,standard
D0384,SKU-A,3,277.23,337.23,express
D0385,SKU-B,12,290.06,410.06,standard
D0386,SKU-A,1,430.82,490.82,express
D0387,SKU-A,3,439.72,499.72,express
D0388,SKU-C,2,394.76,514.76,standard
D0389,SKU-D,2,421.31,541.31,standard
D0390,SKU-D,5,364.26,484.26,standard
D0391,SKU-E,8,336.67,456.67,standard
D0392,SKU-E,5,271.79,391.79,standard
D0393,SKU-A,1,373.67,493.67,standard
D0394,SKU-B,3,386.97,506.97,standard
D0395,SKU-E,2,418.93,538.93,standard
D0396,SKU-A,8,353.82,473.82,standard
D0397,SKU-B,5,310.1,430.1,standard
D0398,SKU-D,3,413.58,533.58,standard
D0399,SKU-E,1,298.51,418.51,standard
D0400,SKU-A,5,305.03,365.03,express
D0401,SKU-E,5,306.2,366.2,express
D0402,SKU-A,5,257.25,377.25,standard
D0403,SKU-C,12,427.45,547.45,standard
D0404,SKU-C,8,309.9,429.9,standard
D0405,SKU-C,1,357.5,477.5,standard
D0406,SKU-E,1,418.88,538.88,standard
D0407,SKU-A,12,280.87,400.87,standard
D0408,SKU-E,1,316.99,376.99,express
D0409,SKU-A,2,408.9,528.9,standard
D0410,SKU-D,1,410.14,530.14,standard
D0411,SKU-B,2,260.68,380.68,standard
D0412,SKU-C,3,448.11,568.11,standard
D0413,SKU-C,2,240.81,360.81,standard
D0414,SKU-D,5,260.39,380.39,standard
D0415,SKU-A,2,245.65,305.65,express
D0416,SKU-E,5,441.26,561.26,standard
D0417,SKU-B,2,298.02,418.02,standard
D0418,SKU-A,3,429.59,549.59,standard
D0419,SKU-D,5,310.74,430.74,standard
D0420,SKU-D,1,282.67,402.67,standard
D0421,SKU-B,2,285.19,405.19,standard
D0422,SKU-D,2,295.94,415.94,standard
D0423,SKU-B,2,243.91,363.91,standard
D0424,SKU-B,1,362.3,482.3,standard
D0425,SKU-D,2,256.34,376.34,standard
D0426,SKU-A,1,283.62,403.62,standard
D0427,SKU-B,3,272.9,392.9,standard
D0428,SKU-A,1,245.81,365.81,standard
D0429,SKU-A,2,431.08,551.08,standard
D0430,SKU-E,2,400.12,520.12,standard
D0431,SKU-C,1,319.79,379.79,express
D0432,SKU-C,3,342.37,402.37,express
D0433,SKU-B,3,355.71,475.71,standard
D0434,SKU-D,1,334.11,454.11,standard
D0435,SKU-A,5,391.74,511.74,standard
D0436,SKU-C,2,410.31,530.31,standard
D0437,SKU-D,1,321.69,441.69,standard
D0438,SKU-D,3,295.15,415.15,standard
D0439,SKU-A,2,320.9,440.9,standard
D0440,SKU-B,8,291.32,411.32,standard
D0441,SKU-E,1,364.21,484.21,standard
D0442,SKU-A,8,442.45,562.45,standard
D0443,SKU-E,2,252.05,372.05,standard
D0444,SKU-B,12,291.79,411.79,standard
D0445,SKU-A,2,261.0,381.0,standard
D0446,SKU-E,2,245.09,365.09,standard
D0447,SKU-A,1,428.15,548.15,standard
D0448,SKU-A,1,271.92,391.92,standard
D0449,SKU-A,1,391.79,511.79,standard
D0450,SKU-A,3,283.04,403.04,standard
D0451,SKU-E,5,269.49,329.49,express
D0452,SKU-E,1,406.86,526.86,standard
D0453,SKU-E,3,307.31,427.31,standard
D0454,SKU-B,1,308.79,428.79,standard
D0455,SKU-B,1,311.96,431.96,standard
D0456,SKU-D,2,421.39,541.39,standard
D0457,SKU-D,1,312.01,432.01,standard
D0458,SKU-B,2,273.57,393.57,standard
D0459,SKU-B,3,277.64,337.64,express
D0460,SKU-B,1,422.94,542.94,standard
D0461,SKU-C,1,448.18,568.18,standard
D0462,SKU-C,1,372.52,492.52,standard
D0463,SKU-C,5,255.16,375.16,standard
D0464,SKU-A,1,299.19,419.19,standard
D0465,SKU-D,1,368.74,488.74,standard
D0466,SKU-D,1,296.97,416.97,standard
D0467,SKU-B,5,432.08,552.08,standard
D0468,SKU-E,1,300.9,360.9,express
D0469,SKU-B,1,352.05,472.05,standard
D0470,SKU-B,3,372.33,492.33,standard
D0471,SKU-A,5,407.15,527.15,standard
D0472,SKU-D,8,261.83,381.83,standard
D0473,SKU-A,5,336.55,456.55,standard
D0474,SKU-B,2,416.73,536.73,standard
D0475,SKU-E,2,329.23,449.23,standard
D0476,SKU-A,8,420.84,540.84,standard
D0477,SKU-B,5,377.55,437.55,express
D0478,SKU-A,2,286.34,406.34,standard
D0479,SKU-D,1,276.41,336.41,express
D0480,SKU-B,1,250.86,370.86,standard
D0481,SKU-A,2,347.73,407.73,express
D0482,SKU-B,2,326.9,446.9,standard
D0483,SKU-A,8,318.3,438.3,standard
D0484,SKU-D,2,372.36,492.36,standard
D0485,SKU-B,2,381.46,441.46,express
D0486,SKU-B,1,374.64,494.64,standard
D0487,SKU-A,5,330.32,390.32,express
D0488,SKU-C,3,326.27,446.27,standard
D0489,SKU-A,12,442.14,562.14,standard
D0490,SKU-B,5,312.48,432.48,standard
D0491,SKU-C,1,363.3,483.3,standard
D0492,SKU-B,1,427.17,547.17,standard
D0493,SKU-C,1,363.46,483.46,standard
D0494,SKU-A,5,264.94,384.94,standard
D0495,SKU-D,2,241.9,361.9,standard
D0496,SKU-D,2,306.96,426.96,standard
D0497,SKU-C,1,367.3,487.3,standard
D0498,SKU-A,1,431.52,491.52,express
D0499,SKU-C,2,256.04,376.04,standard
D0500,SKU-A,2,366.87,486.87,standard
D0501,SKU-C,12,311.11,431.11,standard
D0502,SKU-A,1,420.26,480.26,express
D0503,SKU-B,1,423.94,543.94,standard
D0504,SKU-E,5,399.55,519.55,standard
D0505,SKU-D,5,312.63,432.63,standard
D0506,SKU-E,8,277.48,397.48,standard
D0507,SKU-D,5,343.02,463.02,standard
D0508,SKU-C,1,308.65,428.65,standard
D0509,SKU-E,1,262.03,382.03,standard
D0510,SKU-A,1,357.62,477.62,standard
D0511,SKU-C,2,383.35,443.35,express
D0512,SKU-B,1,312.46,432.46,standard
D0513,SKU-A,5,407.94,527.94,standard
D0514,SKU-D,2,439.38,499.38,express
D0515,SKU-E,1,373.75,433.75,express
D0516,SKU-C,1,376.04,436.04,express
D0517,SKU-D,12,292.1,412.1,standard
D0518,SKU-E,1,249.38,309.38,express
D0519,SKU-C,1,349.92,469.92,standard
D0520,SKU-B,3,370.22,490.22,standard
D0521,SKU-A,3,355.59,475.59,standard
D0522,SKU-D,1,312.81,372.81,express
D0523,SKU-A,1,259.85,319.85,express
D0524,SKU-D,5,251.78,371.78,standard
D0525,SKU-C,3,442.35,502.35,express
D0526,SKU-B,1,317.11,437.11,standard
D0527,SKU-E,2,269.89,389.89,standard
D0528,SKU-E,2,345.76,465.76,standard
D0529,SKU-A,1,288.52,408.52,standard
D0530,SKU-E,1,386.24,506.24,standard
D0531,SKU-C,1,260.93,380.93,standard
D0532,SKU-A,5,347.03,467.03,standard
D0533,SKU-A,1,289.82,409.82,standard
D0534,SKU-B,5,283.92,403.92,standard
D0535,SKU-C,12,247.28,367.28,standard
D0536,SKU-E,2,376.61,496.61,standard
D0537,SKU-B,5,421.87,541.87,standard
D0538,SKU-A,5,325.79,445.79,standard
D0539,SKU-A,12,365.68,485.68,standard
D0540,SKU-B,5,336.31,456.31,standard
D0541,SKU-C,2,381.24,501.24,standard
D0542,SKU-C,3,416.57,536.57,standard
D0543,SKU-B,3,341.44,461.44,standard
D0544,SKU-D,5,310.12,430.12,standard
D0545,SKU-C,1,308.3,428.3,standard
D0546,SKU-E,3,339.76,459.76,standard
D0547,SKU-D,2,313.69,433.69,standard
D0548,SKU-A,2,443.39,563.39,standard
D0549,SKU-D,1,355.33,475.33,standard
D0550,SKU-C,2,438.31,558.31,standard
D0551,SKU-C,5,336.35,396.35,express
D0552,SKU-B,8,253.86,373.86,standard
D0553,SKU-A,2,438.11,558.11,standard
D0554,SKU-D,3,316.66,436.66,standard
D0555,SKU-A,2,241.52,361.52,standard
D0556,SKU-A,12,434.31,494.31,express
D0557,SKU-A,2,361.03,481.03,standard
D0558,SKU-D,1,311.28,371.28,express
D0559,SKU-A,12,380.64,440.64,express
D0560,SKU-B,1,314.22,434.22,standard
D0561,SKU-D,8,242.28,362.28,standard
D0562,SKU-D,1,345.36,405.36,express
D0563,SKU-D,8,441.39,561.39,standard
D0564,SKU-D,5,427.18,547.18,standard
D0565,SKU-D,2,328.75,448.75,standard
D0566,SKU-D,3,316.59,376.59,express
D0567,SKU-B,8,350.29,470.29,standard
D0568,SKU-C,2,420.83,540.83,standard
D0569,SKU-B,1,389.08,509.08,standard
D0570,SKU-A,5,287.63,347.63,express
D0571,SKU-D,3,322.38,442.38,standard
D0572,SKU-B,2,331.41,451.41,standard
D0573,SKU-A,1,343.09,463.09,standard
D0574,SKU-E,3,403.94,523.94,standard
D0575,SKU-A,12,293.53,353.53,express
D0576,SKU-B,1,448.3,568.3,standard
D0577,SKU-A,1,289.39,409.39,standard
D0578,SKU-A,1,443.38,563.38,standard
D0579,SKU-B,2,374.54,434.54,express
D0580,SKU-A,1,295.32,415.32,standard
D0581,SKU-C,3,249.69,369.69,standard
D0582,SKU-A,3,296.79,416.79,standard
D0583,SKU-C,5,420.7,540.7,standard
D0584,SKU-D,2,422.04,542.04,standard
D0585,SKU-C,2,359.17,479.17,standard
D0586,SKU-C,5,445.65,565.65,standard
D0587,SKU-C,3,324.79,444.79,standard
D0588,SKU-B,2,365.34,425.34,express
D0589,SKU-B,8,313.05,433.05,standard
D0590,SKU-B,1,299.15,419.15,standard
D0591,SKU-D,5,347.79,467.79,standard
D0592,SKU-C,2,336.19,456.19,standard
D0593,SKU-A,5,279.05,399.05,standard
D0594,SKU-A,5,316.86,436.86,standard
D0595,SKU-B,2,449.64,569.64,standard
D0596,SKU-E,1,393.1,513.1,standard
D0597,SKU-A,8,435.18,555.18,standard
D0598,SKU-D,1,424.2,544.2,standard
D0599,SKU-D,5,406.93,466.93,express
D0600,SKU-E,2,266.87,386.87,standard
D0601,SKU-C,8,259.5,379.5,standard
D0602,SKU-C,1,436.06,556.06,standard
D0603,SKU-A,2,341.8,461.8,standard
D0604,SKU-B,1,430.66,550.66,standard
D0605,SKU-D,12,332.21,452.21,standard
D0606,SKU-A,3,302.07,362.07,express
D0607,SKU-C,3,331.85,391.85,express
D0608,SKU-E,1,245.86,365.86,standard
D0609,SKU-C,3,303.84,423.84,standard
D0610,SKU-B,3,409.58,529.58,standard
D0611,SKU-C,12,329.99,449.99,standard
